,journalName,journalId,doi,title,pubDay,pubMonth,pubYear,codeLink,codeText,pubDate
0,Scientific Data,41597,10.1038/s41597-024-03190-7,"RASMI: Global ranges of building material intensities differentiated by region, structure, and function",23,4,2024,,"[{'ext-link': {'@xlink:href': 'https://github.com/TomerFishman/MaterialIntensityEstimator', '@ext-link-type': 'uri', '#text': 'https://github.com/TomerFishman/MaterialIntensityEstimator'}, 'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR58', '#text': '58'}}, '#text': 'The entire workflow is available in the RASMI GitHub repository (): the methods for creating the MI value ranges are implemented in Python 3 code, and the random forest classification of structure types is implemented in the Orange machine learning and data mining suite.'}, {'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR59', '#text': '59'}}, '#text': 'The GitHub repository also stores the resulting data and supporting figures. Released versions of the data are archived in Zenodo. The Zenodo version used for this data descriptor is v20230905.'}]",2024-04-23
0,Scientific Data,41597,10.1038/s41597-024-03218-y,Large-scale annotated dataset for cochlear hair cell detection and classification,23,4,2024,https://github.com/indzhykulianlab/hcat-data,"All associated code for downloading, loading, and preprocessing this dataset may be found at: .",2024-04-23
0,Scientific Data,41597,10.1038/s41597-024-03247-7,CROPGRIDS: a global geo-referenced dataset of 173 crops,22,4,2024,https://doi.org/10.6084/m9.figshare.22491997,All data processing and testing described in Methods and Technical Validation sections were conducted using MATLAB version R2021a. Main codes used to construct CROPGRIDS are distributed in the “CODES.zip” folder (Table ) along with CROPGRIDS dataset available for public download from the  repository at .,2024-04-22
0,Scientific Data,41597,10.1038/s41597-024-03303-2,A dataset for measuring the impact of research data and their curation,3,5,2024,https://github.com/ICPSR/mica-data-descriptor; https://doi.org/10.5281/zenodo.8432666,The code used to produce the MICA project dataset is available on GitHub at  and through Zenodo with the identifier . Data manipulation and pre-processing were performed in Python. Data curation for distribution was performed in SPSS.,2024-05-03
0,Scientific Data,41597,10.1038/s41597-024-03219-x,A baseline structure inventory with critical attribution for the US and its territories,16,5,2024,,"[{'ext-link': {'@xlink:href': 'https://github.com/btswan87/isosceles', '@ext-link-type': 'uri', '#text': 'https://github.com/btswan87/isosceles'}, '#text': 'The sample selection process used ISOSCELES, a program written in Python 2.7 using the open source packages GDAL, OGR, SciPy, Numpy, Sci-kit Learn, and Pandas. It is available at .'}, 'Main geospatial data operations and manipulations use open packages, including Python, dask, sqalchemy2, geopandas, pandas, SciPy, Sci-kit Learn, psycopg2-binary, sqlalchemy, postgres, GDAL, OGR, DBeaver, and PostgreSQL. Regularization was performed using ArcPy.', 'Database is a Docker image from CrunchyData with Postgres 14.2 and PostGIS 3.1.']",2024-05-16
0,Scientific Data,41597,10.1038/s41597-024-03304-1,A unified dataset for pre-processed climate indicators weighted by gridded economic activity,24,5,2024,https://github.com/CoMoS-SA/climaterepo,"Python code running the  dashboard and scripts for aggregating data are available at . The  leverages . We employed  to process the data, exploiting package  for the weighted aggregations.",2024-05-24
0,Scientific Data,41597,10.1038/s41597-024-03391-0,Maritime Freight Carbon Emission in the U.S. using AIS data from 2018 to 2022,25,5,2024,,"The data calculation was primarily performed by PyCharm Community Edition 2022.1.3, with Python 3.11 runtime environment (hosted on an Intel i5-1135G7 CPU @ 2.4 GHz, 16 GB RAM, and Windows 11 operating system). The custom code includes parameters that are integral to the dataset generation process. Specifically, the minimum stay time (“thre_sail”) is set to 1 hour, the minimum sailing time (“thre_stop”) is set to 1 hour, and the distance to the nearest port(“thre_shold”) is set to 0.2°. Researchers and interested parties can access the code through the provided, subject to the authors’ permission. The detailed codes can be found in Supplementary information.",2024-05-25
0,Scientific Data,41597,10.1038/s41597-024-03249-5,A dataset of storm surge reconstructions in the Western North Pacific using CNN,22,4,2024,,The python code that was used to train the model to generate the dataset descripted above can be found at Figshare. Further questions can be directed towards Jianlong Feng (fjl181988@tust.edu.cn).,2024-04-22
0,Scientific Data,41597,10.1038/s41597-024-03334-9,Transcriptome dynamics of  in response to abiotic stresses by Iso-seq and RNA-seq data,9,5,2024,,"The study utilized publicly available software with clear methodological descriptions of their parameters. In cases where no specific parameters were provided, we opted to use the default parameters as suggested by the software developer.",2024-05-09
0,Scientific Data,41597,10.1038/s41597-024-03392-z,ACcoding: A graph-based dataset for online judge programming,29,5,2024,https://github.com/KarryBramley/ACcoding-Dataset,All the code is freely accessible in .,2024-05-29
0,Scientific Data,41597,10.1038/s41597-024-03193-4,Cataract-1K Dataset for Deep-Learning-Assisted Analysis of Cataract Surgery Videos,12,4,2024,https://github.com/Negin-Ghamsarian/Cataract-1K,"We provide all code for mask creation using JSON annotations and phase extraction using CSV files, as well as the training IDs for four-fold validation and usage instructions in the GitHub repository of the paper ().",2024-04-12
0,Scientific Data,41597,10.1038/s41597-024-03220-4,Phenomics and transcriptomic profiling of fruit development in distinct apple varieties,16,4,2024,,"[{'ext-link': {'@xlink:href': 'https://www.rosaceae.org/species/malus/malus_x_domestica/genome_GDDH13_v1.1', '@ext-link-type': 'uri', '#text': 'https://www.rosaceae.org/species/malus/malus_x_domestica/genome_GDDH13_v1.1'}, '#text': 'The following are the commands for data processing. The analysis is deployed on CentOS 7 platform. All software versions have been specified in the Methods section. The reference genome version we used is GDDH13_v1.1, detailed annotation and gene prediction information can be found here ().'}, '1. Quality control', '$ fastp -i sample_raw_1.fq.gz -o sample_clean_1.fq.gz -I sample_raw_2.fq.gz -O sample_clean_2.fq.gz -r --length_required 60 -f 12', '2. Read mapping', '$ hisat2 --dta --summary-file sample.summary.txt --new-summary --min-introlen 20 --max-introlen 5000 reference.genome -1 sample_clean_1.fq.gz -2 sample_clean_2.fq.gz -S sample.sam', '3. Convert and sort', '$ samtools sort sample.bam sample.sam', '4. Normalize', '$ stringtie -G reference.gff3 -e -B -o sample.gtf -A sample.tab sample.bam']",2024-04-16
0,Scientific Data,41597,10.1038/s41597-024-03364-3,A daily gap-free normalized difference vegetation index dataset from 1981 to 2023 in China,22,5,2024,https://github.com/mainearth/Daily-Gap-free-NDVI-Code.git,The Python codes for generating and processing the daily gap-free NDVI data in China can be accessed through GitHub ().,2024-05-22
0,Scientific Data,41597,10.1038/s41597-024-03420-y,3D motion analysis dataset of healthy young adult volunteers walking and running on overground and treadmill,30,5,2024,https://www.vicon.com/,A custom Python code used to read data is freely available on the dataset (Python Folder). All processing code used by Vicon are available for free on Vicon website ().,2024-05-30
0,Scientific Data,41597,10.1038/s41597-024-03250-y,The Imperial College Storm Model (IRIS) Dataset,24,4,2024,https://github.com/njsparks/iris,The IRIS code is publicly available () and a release of the version described here has been archived.,2024-04-24
0,Scientific Data,41597,10.1038/s41597-024-03307-y,The SPECTRAL Perfusion Arm Clamping dAtaset (SPECTRALPACA) for video-rate functional imaging of the skin,25,5,2024,,The SPECTRALPACA dataset includes the Python code that facilitates loading of the spectral data. This code and its usage instructions can be found in the dataset archive in the folder named .,2024-05-25
0,Scientific Data,41597,10.1038/s41597-024-03137-y,A multimodal driver monitoring benchmark dataset for driver modeling in assisted driving automation,30,3,2024,https://doi.org/10.7910/DVN/SG9TMD,"The custom code “DataExtraction.py” is available from the same repository, (). The code consists of functions to generate  from  and  as well as functions to create images and videos of seat pressure distribution heatmaps. It also includes functions for extracting zipped files of the dataset. The code is tested and run with Python 3.11.",2024-03-30
0,Scientific Data,41597,10.1038/s41597-024-03222-2,A multimodal physiological dataset for driving behaviour analysis,12,4,2024,https://github.com/zwqzwq0/MPDB,"Readers can access the tutorials and code of our original and preprocessed datasets on Github (). Two folders called preprocessing and classification can be found, which contain MATLAB code for preprocessing and python code for classification.",2024-04-12
0,Scientific Data,41597,10.1038/s41597-024-03196-1,A document-level information extraction pipeline for layered cathode materials for sodium-ion batteries,11,4,2024,https://github.com/GGNoWayBack/cathodedataextractor,The source code of the document-level information extraction pipeline is available at .,2024-04-11
0,Scientific Data,41597,10.1038/s41597-024-03223-1,A Prolonged Artificial Nighttime-light Dataset of China (1984-2020),22,4,2024,https://github.com/xian1234/NTLSTM; https://www.mathworks.com/matlabcentral/fileexchange/119308-modest,"The programs used to generate all the results were Python 3.7, MATLAB (R2018b), and ArcGIS (10.4). The code and scripts used for training, testing, and predicting the NTL data are available in the open GitHub repository “”, and the code for calibrating and validating the data is available at “”.",2024-04-22
0,Scientific Data,41597,10.1038/s41597-024-03252-w,"FastMRI Prostate: A public, biparametric MRI dataset to advance machine learning for prostate cancer imaging",20,4,2024,,"[{'ext-link': {'@xlink:href': 'https://github.com/cai2r/fastMRI_prostate', '@ext-link-type': 'uri', '#text': 'https://github.com/cai2r/fastMRI_prostate'}, '#text': 'Code to load, reconstruct, and visualize fastMRI prostate data, as well as code to run training, validation, and testing for the deep-learning-based classification and reconstruction, may be found at .'}, {'ext-link': {'@xlink:href': 'https://github.com/facebookresearch/fastMRI', '@ext-link-type': 'uri', '#text': 'https://github.com/facebookresearch/fastMRI'}, '#text': 'The fastMRI repository (which also contains code for the VarNet) may be found at .'}]",2024-04-20
0,Scientific Data,41597,10.1038/s41597-024-03281-5,Binary dataset for machine learning applications to tropical cyclone formation prediction,3,5,2024,https://github.com/kieucq/tcg-binary-dataset,Both the code and dataset presented herein are fully accessible on our GitHub repository at . All Python codes follow the standard GNU Open Source Licence.,2024-05-03
0,Scientific Data,41597,10.1038/s41597-024-03367-0,Metricizing policy texts: Comprehensive dataset on China’s Agri-policy intensity spanning 1982–2023,22,5,2024,https://github.com/YNAU-WYH/Agricultural-policy-dataset.git,The code data utilized for computations and analyses within this paper is accessible via the GitHub repository at ().,2024-05-22
0,Scientific Data,41597,10.1038/s41597-024-03224-0,Bias-corrected NESM3 global dataset for dynamical downscaling under 1.5 °C and 2 °C global warming scenarios,20,4,2024,https://github.com/Mengzhuo-Zhang/BC_scripts_NESM3; https://www.ncl.ucar.edu; https://code.mpimet.mpg.de/projects/cdo,"The code used to produce the bias-corrected NESM3 simulations is publicly available on the GitHub repository:  (last access: 21 January 2024). The code consists of an NCL (version 6.6.2, ) script to compute non-linear trends of the variables and a few CDO (version 1.7.0, ) scripts to regrid data and correct NESM3 bias.",2024-04-20
0,Scientific Data,41597,10.1038/s41597-024-03282-4,High resolution Tibetan Plateau regional reanalysis 1961-present,3,5,2024,https://github.com/wrf-model/WRF/tags; https://www2.mmm.ucar.edu/wrf/users; https://github.com/PayphoneChoou/TPRR_CODE,The TPRR setup is available through the Weather Research and Forecasting (WRF) model. WRF is provided through a git repository () available at the model’s website (). The users can download the source code of WRF model in the git repository anonymously. The Python scripts used in this study for data post processing can be available through the following git repository: .,2024-05-03
0,Scientific Data,41597,10.1038/s41597-024-03339-4,Comparing built-up area datasets to assess urban exposure to coastal hazards in Europe,15,5,2024,https://doi.org/10.6084/m9.figshare.c.6839949,"The python code to create the DLECZ, classify the settlement types and create built-up area density maps from building vector data in order to validate the results, is available at .",2024-05-15
0,Scientific Data,41597,10.1038/s41597-024-03397-8,"Time-of-Flight MRA of Intracranial Aneurysms with Interval Surveillance, Clinical Segmentation and Annotations",30,5,2024,,"The described dataset was manually organised according to BIDS (v1.8.0). DICOM files were converted to NIFTI format using MRIcroGL dcm2niix software (NITRC, v1.0.20220720). Masks and annotations were prepared using 3DSlicer software (v5.2.1). Python (Spyder, v5.4.3) was used to order scans by imaging modality and scanning dates, and for the stripping of unnecessary NIFTI slices in some patients where portions of the skull not related to the Circle of Willis were also imaged. Code used for these purposes is not published as it is not required for generation or processing of the published dataset.",2024-05-30
0,Scientific Data,41597,10.1038/s41597-024-03169-4,Semantic integration of diverse data in materials science: Assessing Orowan strengthening,30,4,2024,demo-orowan; PMD Core Ontology (PMDco); Tensile Test Ontology (TTO); Precipitate Geometry Ontology (PGO),The script and the ontologies utilized in this study are openly accessible and can be obtained from the following GitHub repositories:• • • •,2024-04-30
0,Scientific Data,41597,10.1038/s41597-024-03225-z,BOLD: Blood-gas and Oximetry Linked Dataset,24,5,2024,,"['All code used for data extraction, processing, visualization, and technical validation is available as SQL queries (Google’s Bigquery syntax) and Jupyter notebooks in the corresponding PhysioNet page and on GitHub.', {'ext-link': {'@xlink:href': 'https://github.com/joamats/pulse-ox-dataset', '@ext-link-type': 'uri', '#text': 'https://github.com/joamats/pulse-ox-dataset'}}, {'italic': ['2_CONSORT_diagram.ipynb', '3_tableones.ipynb', '4_technical_validation.ipynb, and 5_missingness.ipynb'], '#text': '1.\u2009\u2009\u2009\u2009The publicly-available scripts are structured as follows: 1. The folders MIMIC-III, MIMIC-IV, and eICU-CRD contain the SQL queries to fetch the data, alongside auxiliary tables that need to be created first in a user’s BigQuery environment. 2. The source folder contains the Jupyter notebook (1_dataset.ipynb) to create the dataset, which is calling the main SQL scripts needed to create the final CSV file. It also contains the notebooks , ,  to recreate all the analyses.'}, {'italic': ['2_CONSORT_diagram.ipynb', '3_tableones.ipynb', '4_technical_validation.ipynb, and 5_missingness.ipynb'], '#text': '2.\u2009\u2009\u2009\u2009The source folder contains the Jupyter notebook (1_dataset.ipynb) to create the dataset, which is calling the main SQL scripts needed to create the final CSV file. It also contains the notebooks , ,  to recreate all the analyses.'}]",2024-05-24
0,Scientific Data,41597,10.1038/s41597-024-03254-8,A dataset for fatigue estimation during shoulder internal and external rotation movements using wearables,27,4,2024,,We supply the raw data in.csv files and have not used any ad-hoc code to process them.,2024-04-27
0,Scientific Data,41597,10.1038/s41597-024-03283-3,Multispectral analysis-ready satellite data for three East African mountain ecosystems,9,5,2024,https://doi.org/10.17192/FDR/166,The code used to process the Sentinel-2 data with  version 3.7.10 can be obtained via data_UMR .,2024-05-09
0,Scientific Data,41597,10.1038/s41597-024-03310-3,Transient dataset of household appliances with Intensive switching events,14,5,2024,,"['We used Python to write programmes to process and validate the dataset. Here are some of the programmes we used:', '• Check.py: This programme is used to validate and check the accuracy of the dataset.', '• ShowWave.py: This file is used to view the waveform of the current when the appliance is started.', '• ShowWaveFFT.py: This file is used to perform a Fast Fourier Transform on the current and voltage waveforms.', '• LWIP_NILMF417IGT_MakeFile_CRC_new: This folder contains the embedded programme used in the data acquisition section.', '• Upper_computer_monitoring_system.mp4: This file is the video of the monitoring programme of the upper computer during the aggregation data collection.', {'ext-link': [{'@xlink:href': 'https://github.com/TagEnd/TDHA-Acquisition-System-Submit', '@ext-link-type': 'uri', '#text': 'https://github.com/TagEnd/TDHA-Acquisition-System-Submit'}, {'@xlink:href': 'https://www.scidb.cn/en/detail?dataSetId=876623ff38634ccb8426b07146720914&version=V2', '@ext-link-type': 'uri', '#text': 'https://www.scidb.cn/en/detail?dataSetId=876623ff38634ccb8426b07146720914&version=V2'}, {'@xlink:href': 'http://f-lab.ncepu.edu.cn/TDHA', '@ext-link-type': 'uri', '#text': 'http://f-lab.ncepu.edu.cn/TDHA'}], '#text': 'These programmes are helpful in efficiently processing and validating the datasets to ensure the correctness and usability of the data. The source code of this programme has been posted on  and the TDHA dataset has been posted both on the Science Databank  and on our custom platform .'}]",2024-05-14
0,Scientific Data,41597,10.1038/s41597-024-03398-7,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,29,5,2024,https://github.com/ncclabsustech/Chinese_reading_task_eeg_processing,"The code for all modules is openly available on GitHub (). All scripts were developed in Python 3.10. Package openpyxl v3.1.2 was utilized to export segmented text in Excel (.xlsx) files, and egi-pynetstation v1.0.1, g3pylib v0.1.1, psychopy v2023.2.3 were used to implement the scripts for EGI device control, Tobii eye-tracker control, stimuli presentation respectively. In the data pre-processing scripts, MNE v1.6.0, pybv v0.7.5, pyprep v0.4.3, mne-iclabel v0.5.1 were used to implement the pre-processing pipeline, while mne-bids v0.14 was used to organize the data into BIDS format. The text embeddings were calculated using Hugging Face transformers v4.36.2. For more details about code usage, please refer to the GitHub repository.",2024-05-29
0,Scientific Data,41597,10.1038/s41597-024-03311-2,ROSPaCe: Intrusion Detection Dataset for a ROS2-Based Cyber-Physical System and IoT Networks,10,5,2024,,"[{'italic': 'codes', 'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR47', '#text': '47'}}, '#text': 'The software code to run the entire experimental campaign can be downloaded from the  folder of our open software repository. Each subfolder corresponds to a specific activity of the dataset creation procedure reported in this paper.'}, 'The ROSPaCe proposed versions are available in a public repository and can be freely downloaded. The repository contains a folder for each of the datasets, and an additional CSV file that enlists the features included.']",2024-05-10
0,Scientific Data,41597,10.1038/s41597-024-03312-1,The Poses for Equine Research Dataset (PFERD),15,5,2024,,"['We make available functions for users to use our datasets:', '• Loading c3d files and the hSMAL model with the captured parameters to visualize the mocap data and the fitted results.', '• Projecting the reconstructed model in image planes with provided camera information.', {'ext-link': {'@xlink:href': 'https://github.com/Celiali/test.git', '@ext-link-type': 'uri', '#text': 'https://github.com/Celiali/PFERD.git'}, '#text': '• Quantitative evaluation using the mocap data and silhouette subsets. Further detail about environment settings and code usage can be found in .'}]",2024-05-15
0,Scientific Data,41597,10.1038/s41597-024-03171-w,An open source knowledge graph ecosystem for the life sciences,11,4,2024,https://github.com/callahantiff/PheKnowLator; https://pypi.org/project/pkt-kg; https://github.com/callahantiff/PheKnowLator/tree/master/builds/deploy/triple-store#readme; https://github.com/callahantiff/PheKnowLator/releases/tag/v2.1.0; https://zenodo.org/record/4685943,The PheKnowLator ecosystem coding resources are described in detail in Supplementary Table  by ecosystem component. The PKT-KG algorithm is publicly available through GitHub () and PyPI (). The SPARQL Endpoint deployment code and documentation are also available through GitHub: . A list of the computational resources used to evaluate the PheKnowLator ecosystem is provided in Supplementary Table . The code used to scrape the GitHub API is available from Zenodo. The survey of open-source KG construction tools is also available on Zenodo. The v2.1.0 PheKnowLator code is available on GitHub () and from Zenodo ().,2024-04-11
0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16
0,Scientific Data,41597,10.1038/s41597-024-03172-9,Morphometric dataset of  for non-invasive sex identification using machine learning,5,4,2024,https://www.kaggle.com/code/ariffazlanalymann/ml-varanus-morphology-sex-prediction,"The Python code utilised in this study is available on Kaggle, via the link: .",2024-04-05
0,Scientific Data,41597,10.1038/s41597-024-03287-z,A global time series of traffic volumes on extra-urban roads,8,5,2024,,The Python and R code used to create the road networks and perform the analyses is provided together with the output data (see section “Data Records”).,2024-05-08
0,Scientific Data,41597,10.1038/s41597-024-03088-4,Fisheries Inspection in Portuguese Waters from 2015 to 2023,10,4,2024,,"[{'ext-link': [{'@xlink:href': 'https://github.com/ricardomourarpm/Fishery_Inspection_PT_2017_23', '@ext-link-type': 'uri', '#text': 'https://github.com/ricardomourarpm/Fishery_Inspection_PT_2017_23'}, {'@xlink:href': 'https://colab.research.google.com/', '@ext-link-type': 'uri', '#text': 'https://colab.research.google.com/'}, {'@xlink:href': 'https://jupyter.org/install.html', '@ext-link-type': 'uri', '#text': 'https://jupyter.org/install.html'}], '#text': 'The code used for the extraction, translation, pre-processing, and protection of the vessel identification is available in a GitHub repository (). To run the provided code, it is possible to run it locally using Python in a Jupyter Notebook or even use the Anaconda Distribution, or you can use it directly online using, e.g., the Google Colaboratory (). The Anaconda Distribution () is an excellent choice for scientific computing and data science as it includes Python, Jupyter Notebook, and other commonly used packages.'}, {'italic': ['4_1_k_identifiers_analysis.py', '5_Anonimization.py'], 'ext-link': {'@xlink:href': 'https://github.com/ricardomourarpm/Fishery_Inspection_PT_2017_23', '@ext-link-type': 'uri', '#text': 'https://github.com/ricardomourarpm/Fishery_Inspection_PT_2017_23'}, '#text': 'One must use synthetically generated or protected data to run the codes since the original dataset cannot be shared for privacy and confidentiality reasons. Moreover, some values/variable vectors in files  and  are not real (), as they should be withheld from the general public to ensure data protection and privacy.'}]",2024-04-10
0,Scientific Data,41597,10.1038/s41597-024-03144-z,MultiSenseBadminton: Wearable Sensor–Based Biomechanical Dataset for Evaluation of Badminton Performance,5,4,2024,https://github.com/dailyminiii/MultiSenseBadminton,"Software is available on GitHub and can be accessed via the following link. . This comprehensive software package includes examples for reading and parsing HDF5 files, performing data preprocessing by extracting and filtering, and displaying the results. Additionally, it offers functionality for training a deep-learning model using the preprocessed data, generating a T-SNE plot based on the preprocessed data, and creating a visualization video based on the raw data presented in Fig. .",2024-04-05
0,Scientific Data,41597,10.1038/s41597-024-03344-7,A dataset of ambient sensors in a meeting room for activity recognition,21,5,2024,,"[{'ext-link': [{'@xlink:href': 'https://github.com/cdsnlab/ScientificData', '@ext-link-type': 'uri', '#text': 'https://github.com/cdsnlab/ScientificData'}, {'@xlink:href': '10.6084/m9.figshare.24558619', '@ext-link-type': 'doi', '#text': 'https://doi.org/10.6084/m9.figshare.24558619'}, {'@xlink:href': 'https://zenodo.org/records/7763477', '@ext-link-type': 'uri', '#text': 'https://zenodo.org/records/7763477'}], 'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR31', '#text': '31'}}, '#text': 'The extraction of collected data, annotation of activities, conversion of collected data into formatted data record files, and analysis of sensor data utilize Python 3.7 and a variety of Python libraries. The codes are available on our lab’s GitHub site (). The DOO-RE dataset files and outcomes of data collection are hosted on the public repositories, accessible at figshare () and Zenodo (), with further inquiries welcome via contacting the corresponding authors. For optimal viewing, it is advised to open DOO-RE’s sensor data files, which are in CSV format, using Excel. JSON format metadata files can be easily viewed or modified using any text editor.'}, 'Our MQTT-based IoT system (JAVA-based), named Lapras, gathers data from ambient sensors, actuators, and a camera. This system archives the raw data in a MongoDB database and uses Python to preprocess and extract sensor data for the creation of DOO-RE. Information and code for this collected system can also be requested through the lab’s website site or the corresponding author. We are open to assisting and providing information about DOO-RE, with the exception of requests for privacy-sensitive content, such as video recordings.']",2024-05-21
0,Scientific Data,41597,10.1038/s41597-024-03230-2,"HiMIC-Monthly: A 1 km high-resolution atmospheric moisture index collection over China, 2003–2020",24,4,2024,https://doi.org/10.5281/zenodo.8352539,Sample codes for developing the HiMIC-Monthly dataset are available from Zenodo at .,2024-04-24
